domain,T (0.0),T (0.5),% T (0.0),mean chosen_idx
King James Bible,69,21,76.66666666666667,0.6777777777777778
Ensemble Everything Everywhere,32,58,35.55555555555556,0.4777777777777778
Wikipedia: Malcolm X,27,63,30.0,0.36666666666666664
Wikipedia: BAT99-98,38,52,42.22222222222222,0.5555555555555556
Wikipedia: Copyright Act 1911,37,53,41.111111111111114,0.5555555555555556
Wikipedia: Chester Cathedral,46,44,51.111111111111114,0.5555555555555556
Tokens vs. Bytes,23,67,25.555555555555557,0.5888888888888889
uv,55,35,61.111111111111114,0.5555555555555556
toks_in: 20,97,143,40.416666666666664,0.5666666666666667
toks_in: 100,124,116,51.666666666666664,0.4791666666666667
toks_in: 500,106,134,44.166666666666664,0.5791666666666667
toks_out: 20,131,109,54.583333333333336,0.5416666666666666
toks_out: 100,97,143,40.416666666666664,0.5291666666666667
toks_out: 500,99,141,41.25,0.5541666666666667
total,327,393,45.416666666666664,0.5416666666666666
