domain,T (0.5),T (1.0),% T (0.5),mean chosen_idx
Wikipedia: Malcolm X,71,19,78.88888888888889,0.4666666666666667
Wikipedia: BAT99-98,79,11,87.77777777777777,0.5333333333333333
Ensemble Everything Everywhere,51,39,56.666666666666664,0.5
King James Bible,65,25,72.22222222222223,0.6111111111111112
Tokens vs. Bytes,68,22,75.55555555555556,0.5666666666666667
Wikipedia: Copyright Act 1911,61,29,67.77777777777777,0.5666666666666667
uv,67,23,74.44444444444444,0.5111111111111111
Wikipedia: Chester Cathedral,83,7,92.22222222222223,0.4444444444444444
toks_in: 20,200,40,83.33333333333333,0.49166666666666664
toks_in: 100,184,56,76.66666666666667,0.48333333333333334
toks_in: 500,161,79,67.08333333333333,0.6
toks_out: 20,174,66,72.5,0.4791666666666667
toks_out: 100,194,46,80.83333333333333,0.55
toks_out: 500,177,63,73.75,0.5458333333333333
total,545,175,75.69444444444444,0.525
