domain,bytes-tokens-100,tokens-tokens-100,% MoT,mean chosen_idx
Wikipedia: BAT99-98,37,53,41.111111111111114,0.6222222222222222
Wikipedia: Copyright Act 1911,51,39,56.666666666666664,0.5666666666666667
Ensemble Everything Everywhere,61,29,67.77777777777777,0.5444444444444444
uv,50,40,55.55555555555556,0.4888888888888889
Tokens vs. Bytes,50,40,55.55555555555556,0.6444444444444445
King James Bible,57,33,63.333333333333336,0.5222222222222223
Wikipedia: Malcolm X,57,33,63.333333333333336,0.5222222222222223
Wikipedia: Chester Cathedral,47,43,52.22222222222222,0.5222222222222223
toks_in: 20,135,105,56.25,0.5333333333333333
toks_in: 100,120,120,50.0,0.5458333333333333
toks_in: 500,155,85,64.58333333333333,0.5833333333333334
toks_out: 20,136,104,56.666666666666664,0.35833333333333334
toks_out: 100,142,98,59.166666666666664,0.575
toks_out: 500,132,108,55.0,0.7291666666666666
total,410,310,56.94444444444444,0.5541666666666667
