domain,bytes-tokens-000,tokens-tokens-000,% MoT,mean chosen_idx
Tokens vs. Bytes,10,8,55.55555555555556,0.4444444444444444
Wikipedia: Chester Cathedral,9,9,50.0,0.7222222222222222
uv,8,10,44.44444444444444,0.5
Wikipedia: BAT99-98,4,14,22.22222222222222,0.3888888888888889
Wikipedia: Copyright Act 1911,12,6,66.66666666666667,0.6666666666666666
King James Bible,7,11,38.888888888888886,0.4444444444444444
Ensemble Everything Everywhere,6,12,33.333333333333336,0.3333333333333333
Wikipedia: Malcolm X,12,6,66.66666666666667,0.4444444444444444
toks_in: 20,25,23,52.083333333333336,0.4583333333333333
toks_in: 100,23,25,47.916666666666664,0.5
toks_in: 500,20,28,41.666666666666664,0.5208333333333334
toks_out: 20,26,22,54.166666666666664,0.5
toks_out: 100,20,28,41.666666666666664,0.4791666666666667
toks_out: 500,22,26,45.833333333333336,0.5
total,68,76,47.22222222222222,0.4930555555555556
