domain,bytes-tokens-000,tokens-tokens-000,% MoT,mean chosen_idx
King James Bible,7,11,38.888888888888886,0.4444444444444444
Wikipedia: BAT99-98,2,16,11.11111111111111,0.6111111111111112
Wikipedia: Malcolm X,14,4,77.77777777777777,0.5
uv,6,12,33.333333333333336,0.5555555555555556
Wikipedia: Copyright Act 1911,10,8,55.55555555555556,0.5
Wikipedia: Chester Cathedral,6,12,33.333333333333336,0.6666666666666666
Tokens vs. Bytes,9,9,50.0,0.5
Ensemble Everything Everywhere,7,11,38.888888888888886,0.3888888888888889
toks_in: 20,23,25,47.916666666666664,0.4375
toks_in: 100,15,33,31.25,0.5625
toks_in: 500,23,25,47.916666666666664,0.5625
toks_out: 20,24,24,50.0,0.4375
toks_out: 100,17,31,35.416666666666664,0.5833333333333334
toks_out: 500,20,28,41.666666666666664,0.5416666666666666
total,61,83,42.361111111111114,0.5208333333333334
