domain,B (0.0),B (1.0),% B (0.0),mean chosen_idx
Wikipedia: BAT99-98,61,29,67.77777777777777,0.5555555555555556
Ensemble Everything Everywhere,31,59,34.44444444444444,0.4888888888888889
Wikipedia: Chester Cathedral,77,13,85.55555555555556,0.5444444444444444
Wikipedia: Malcolm X,79,11,87.77777777777777,0.4
Tokens vs. Bytes,42,48,46.666666666666664,0.5333333333333333
Wikipedia: Copyright Act 1911,60,30,66.66666666666667,0.5888888888888889
uv,58,32,64.44444444444444,0.5444444444444444
King James Bible,50,40,55.55555555555556,0.6222222222222222
toks_in: 20,160,80,66.66666666666667,0.5291666666666667
toks_in: 100,154,86,64.16666666666667,0.5125
toks_in: 500,144,96,60.0,0.5625
toks_out: 20,182,58,75.83333333333333,0.5
toks_out: 100,146,94,60.833333333333336,0.5458333333333333
toks_out: 500,130,110,54.166666666666664,0.5583333333333333
total,458,262,63.611111111111114,0.5347222222222222
