domain,bytes-tokens-100,tokens-tokens-100,% MoT,mean chosen_idx
Wikipedia: BAT99-98,41,49,45.55555555555556,0.5
Wikipedia: Copyright Act 1911,60,30,66.66666666666667,0.4111111111111111
Wikipedia: Malcolm X,41,49,45.55555555555556,0.43333333333333335
Ensemble Everything Everywhere,51,39,56.666666666666664,0.5333333333333333
Wikipedia: Chester Cathedral,41,49,45.55555555555556,0.5777777777777777
uv,41,49,45.55555555555556,0.5888888888888889
Tokens vs. Bytes,39,51,43.333333333333336,0.5111111111111111
King James Bible,54,36,60.0,0.5555555555555556
toks_in: 20,109,131,45.416666666666664,0.5041666666666667
toks_in: 100,129,111,53.75,0.5166666666666667
toks_in: 500,130,110,54.166666666666664,0.5208333333333334
toks_out: 20,121,119,50.416666666666664,0.44166666666666665
toks_out: 100,128,112,53.333333333333336,0.5208333333333334
toks_out: 500,119,121,49.583333333333336,0.5791666666666667
total,368,352,51.111111111111114,0.5138888888888888
