domain,bytes-tokens-050,tokens-tokens-050,% MoT,mean chosen_idx
Wikipedia: BAT99-98,39,51,43.333333333333336,0.7
uv,53,37,58.888888888888886,0.5444444444444444
Tokens vs. Bytes,36,54,40.0,0.6555555555555556
Ensemble Everything Everywhere,52,38,57.77777777777778,0.5444444444444444
Wikipedia: Malcolm X,43,47,47.77777777777778,0.5888888888888889
Wikipedia: Chester Cathedral,53,37,58.888888888888886,0.7222222222222222
King James Bible,43,47,47.77777777777778,0.4666666666666667
Wikipedia: Copyright Act 1911,50,40,55.55555555555556,0.5777777777777777
toks_in: 20,97,143,40.416666666666664,0.5375
toks_in: 100,132,108,55.0,0.5916666666666667
toks_in: 500,140,100,58.333333333333336,0.6708333333333333
toks_out: 20,131,109,54.583333333333336,0.425
toks_out: 100,129,111,53.75,0.5916666666666667
toks_out: 500,109,131,45.416666666666664,0.7833333333333333
total,369,351,51.25,0.6
